"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2020","Pacific",65.8766,318,64.9133,323,102.372,141,103.819,156,97.1274,97,99.1223,107,4.69696,120
"2020","Penn",71.0312,72,70.2189,76,101.744,154,103.414,163,99.7357,157,100.788,137,2.62624,141
"2020","Penn St.",71.4012,62,70.9178,54,105.016,86,110.344,43,95.8068,59,92.4292,23,17.9147,26
"2020","Pepperdine",71.8067,51,70.8307,57,104.264,104,107.237,85,105.444,286,104.371,217,2.86567,139
"2020","Pittsburgh",66.0093,314,65.4824,308,98.3306,227,103.955,154,99.1329,140,98.3075,91,5.64796,111
"2020","Portland",70.1839,115,69.2764,122,92.7406,328,94.3979,314,104.512,272,104.331,216,-9.93312,286
"2020","Portland St.",71.8412,50,71.8022,40,107.927,40,108.777,57,106.642,304,108.807,306,-0.0302876,173
"2020","Prairie View A&M",72.3828,40,70.7008,61,96.2086,278,96.3278,282,93.2997,22,100.488,131,-4.16032,213
"2020","Presbyterian",67.0025,279,66.9015,253,97.9363,232,96.9192,272,110.323,334,114.391,341,-17.4717,335
"2020","Princeton",67.0729,272,66.2915,274,105.199,83,106.973,89,103.84,258,105.477,243,1.49622,150
"2020","Providence",69.5616,142,68.4267,171,102.233,146,107.805,75,94.9391,46,92.801,27,15.0042,40
"2020","Purdue",64.7384,338,64.5562,333,102.949,130,109.339,50,94.3492,39,90.7695,11,18.5691,24
"2020","Purdue Fort Wayne",68.9388,180,67.8778,205,97.6878,238,95.386,299,104.57,275,103.815,204,-8.42851,261
"2020","Quinnipiac",68.9008,184,68.8963,141,101.302,163,100.689,207,102.761,234,108.337,300,-7.64768,251
"2020","Radford",64.8633,336,64.2978,336,108.516,29,105.593,118,103.854,259,106.765,272,-1.17169,186
"2020","Rhode Island",71.8773,47,71.1919,46,101.197,167,105.249,126,94.9946,47,94.189,39,11.0603,65
"2020","Rice",71.2817,65,70.1034,80,102.94,131,105.825,110,106.013,295,108.441,301,-2.61664,199
"2020","Richmond",69.2719,159,69.265,124,107.812,43,109.205,53,95.1688,52,95.3368,54,13.8683,46
"2020","Rider",71.8025,52,71.1029,49,99.9674,196,100.918,204,96.5611,80,102.111,171,-1.19229,187
"2020","Robert Morris",67.0538,274,66.0965,282,102.758,134,100.537,212,100.197,169,103.832,205,-3.29486,207
"2020","Rutgers",67.5668,253,67.3701,231,101.874,153,107.947,72,92.9028,19,90.2277,6,17.7193,28
"2020","Sacramento St.",64.4254,341,63.8564,340,97.0998,256,97.0661,268,95.8434,61,98.1685,87,-1.10237,183
"2020","Sacred Heart",69.4977,145,68.706,152,104.34,102,102.153,185,100.46,174,104.796,227,-2.64283,200
"2020","Saint Joseph's",71.2276,66,71.1831,47,96.5446,270,101.911,193,111.321,338,110.248,315,-8.3379,260
"2020","Saint Louis",68.4382,215,67.5688,219,103.112,129,105.804,111,93.871,29,94.3947,44,11.4088,62
"2020","Saint Mary's",64.9715,335,63.8792,339,111.161,9,113.709,16,100.311,171,98.5179,96,15.1907,38
"2020","Saint Peter's",68.5931,204,68.0078,197,96.4682,272,95.3663,300,92.9828,20,97.3462,80,-1.97998,194
"2020","Sam Houston St.",73.3654,25,71.1169,48,101.568,158,99.5324,229,99.841,161,103.663,200,-4.13093,212
"2020","Samford",74.0414,17,72.8,25,97.4765,244,98.6287,245,113.209,345,112.638,332,-14.0095,321
"2020","San Diego",70.7231,85,70.2001,78,90.5657,340,94.3746,315,101.753,206,99.7504,117,-5.37585,230
"2020","San Diego St.",65.9677,316,64.585,332,112.831,3,115.087,11,91.048,10,90.6115,10,24.4759,6
"2020","San Francisco",69.0256,176,68.6987,155,106.141,68,108.302,68,99.2637,147,98.1735,88,10.1287,74
"2020","San Jose St.",74.0174,19,73.3031,13,93.1957,324,97.508,262,110.456,335,107.818,289,-10.3099,290
"2020","Santa Clara",72.7733,32,71.5685,42,101.588,157,102.564,176,99.6531,155,101.341,154,1.22357,151
"2020","Seattle",70.4171,103,69.8574,91,101.004,169,101.154,200,101.266,193,105.497,247,-4.34329,214
"2020","Seton Hall",70.9208,75,69.7948,93,105.375,80,112.264,29,96.093,65,92.7216,25,19.5422,20
"2020","Siena",67.1619,270,66.6728,261,106.487,61,107.169,87,99.4042,152,105.105,236,2.0644,145
"2020","SIU Edwardsville",69.8586,122,68.9762,136,94.3136,315,92.2939,336,106.824,307,110.014,314,-17.7197,337
"2020","SMU",65.9844,315,64.7541,331,108.299,32,112.411,28,101.745,205,103.788,202,8.623,88
"2020","South Alabama",66.701,284,65.3494,310,104.049,108,104.934,130,102.368,226,103.881,209,1.05235,155
"2020","South Carolina",72.5239,37,73.0771,17,100.77,176,105.384,122,95.3674,54,94.7198,50,10.6639,69
"2020","South Carolina St.",69.2096,165,67.4203,226,96.5539,269,94.9009,306,106.759,306,113.194,335,-18.2932,339
"2020","South Dakota",71.0228,73,69.9941,85,109.435,21,108.58,63,106.261,299,108.943,307,-0.362762,177
"2020","South Dakota St.",69.8445,123,67.9534,201,110.755,11,110.026,46,101.197,192,105.303,241,4.72232,119
"2020","South Florida",65.5075,329,64.8914,324,94.9623,306,100.189,214,95.025,49,95.8977,63,4.29171,125
"2020","Southeast Missouri St.",68.6266,202,67.5691,218,95.3178,296,93.9957,324,109.162,328,112.998,334,-19.0018,340
"2020","Southeastern Louisiana",73.8619,20,72.0749,33,92.2466,332,91.9963,338,106.295,300,109.619,312,-17.6232,336
"2020","Southern",68.5251,208,66.7974,256,97.4545,246,97.1944,267,97.8177,109,104.763,224,-7.56864,250
"2020","Southern Illinois",64.1236,346,64.2212,337,96.6024,266,98.2388,252,97.3346,100,98.6469,99,-0.40815,178
"2020","Southern Miss",68.2352,226,67.2357,238,92.3264,331,94.4067,313,105.604,290,103.842,207,-9.43556,279
"2020","Southern Utah",69.4606,147,69.3196,118,98.8693,215,98.8401,240,95.4651,55,98.1416,86,0.698502,161
"2020","St. Bonaventure",66.1731,309,65.7272,301,103.602,115,106.587,95,100.828,184,102.222,174,4.3651,123
"2020","St. Francis NY",70.5831,92,70.317,70,96.0034,281,94.554,308,101.726,204,106.452,266,-11.8978,307
"2020","St. Francis PA",69.7339,130,68.9268,138,109.098,24,107.566,81,102.903,236,107.882,290,-0.316364,176
